cat_type,category,subcategory,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1,FY2026Q2
Wine,Italy Wine,Italy Fruit and Dessert Wine,14910.0,15493.0,4826.0,12353.0,12636.0
Wine,Italy Wine,Italy Red Wine,10791407.0,16392718.0,12237708.0,12625376.0,12451763.0
Wine,Italy Wine,Italy Rose Wine,431305.0,194667.0,203512.0,441388.0,485891.0
Wine,Italy Wine,Italy Sparkling Wine,2257043.0,2644932.0,1802911.0,2221292.0,2422838.0
Wine,Italy Wine,Italy White Wine,6545400.0,6456173.0,5151102.0,6892586.0,6668766.0
Wine,Italy Wine,Prosecco Wine,8154993.0,11090084.0,5091569.0,7956074.0,7985004.0
Wine,New Zealand Wine,New Zealand Fruit and Dessert Wine,0.0,816.0,0.0,0.0,0.0
Wine,New Zealand Wine,New Zealand Red Wine,504934.0,671656.0,400455.0,608864.0,593853.0
Wine,New Zealand Wine,New Zealand Rose Wine,388213.0,190718.0,153259.0,477096.0,433715.0
Wine,New Zealand Wine,New Zealand Sparkling Wine,65406.0,143345.0,68956.0,57643.0,92835.0
Wine,New Zealand Wine,New Zealand White Wine,12427887.0,14734729.0,9335123.0,15157124.0,14186490.0
Wine,Other Country Wine,Other Country Fruit and Dessert Wine,325207.0,390864.0,391101.0,326520.0,314936.0
Wine,Other Country Wine,Other Country Red Wine,86438.0,96608.0,93692.0,113487.0,78577.0
Wine,Other Country Wine,Other Country Rose Wine,20075.0,9597.0,12771.0,13704.0,25737.0
Wine,Other Country Wine,Other Country Sparkling Wine,26997.0,26056.0,23817.0,32071.0,26453.0
Wine,Other Country Wine,Other Country White Wine,59683.0,58835.0,54073.0,69578.0,61227.0
Wine,Other Style Wine,Aperitif And Flavoured Wine,75188.0,97573.0,68503.0,29089.0,51076.0
Wine,Other Style Wine,Mead,298847.0,165302.0,147698.0,157728.0,274211.0
Wine,Other Style Wine,Rice Wine,68782.0,76682.0,69328.0,55181.0,49878.0
Wine,Portugal Wine,Portugal Fruit and Dessert Wine,351.0,1737.0,3347.0,4169.0,2165.0
Wine,Portugal Wine,Portugal Red Wine,953129.0,1405792.0,1190390.0,1113329.0,1055928.0
Wine,Portugal Wine,Portugal Rose Wine,285855.0,218594.0,163069.0,208328.0,344263.0
Wine,Portugal Wine,Portugal Sparkling Wine,4606.0,2703.0,1272.0,2809.0,3048.0
Wine,Portugal Wine,Portugal White Wine,758659.0,445330.0,489007.0,662673.0,645575.0
Wine,Sake,Japan Sake,2099259.0,2458376.0,2468168.0,2334830.0,2661300.0
Wine,Sake,Other Country Sake,135215.0,136869.0,97554.0,151733.0,186512.0
Wine,Sake,USA Sake,576542.0,718437.0,716698.0,190588.0,80677.0
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,633.0,633.0,149.0,0.0,0.0
Wine,South Africa Wine,South Africa Red Wine,681854.0,976007.0,825874.0,776638.0,594544.0
Wine,South Africa Wine,South Africa Rose Wine,49933.0,20884.0,21316.0,43399.0,41771.0
Wine,South Africa Wine,South Africa Sparkling Wine,4402.0,2550.0,9543.0,1529.0,5403.0
Wine,South Africa Wine,South Africa White Wine,1049252.0,959037.0,874551.0,1041383.0,1046227.0
Wine,Spain Wine,Spain Fruit and Dessert Wine,11577.0,12766.0,11156.0,10707.0,12691.0
Wine,Spain Wine,Spain Red Wine,3314456.0,3991021.0,4221282.0,3500023.0,3650221.0
Wine,Spain Wine,Spain Rose Wine,232375.0,102851.0,376712.0,252592.0,385394.0
Wine,Spain Wine,Spain Sparkling Wine,1336991.0,2001632.0,1085693.0,1242881.0,1291905.0
Wine,Spain Wine,Spain White Wine,510972.0,481192.0,725451.0,606328.0,810531.0
Wine,USA Wine,USA Fruit and Dessert Wine,0.0,0.0,27777.0,0.0,0.0
Wine,USA Wine,USA Red Wine,19952741.0,32164110.0,15494049.0,-1982706.0,5397002.0
Wine,USA Wine,USA Rose Wine,919741.0,704739.0,539748.0,264175.0,301307.0
Wine,USA Wine,USA Sparkling Wine,260048.0,401020.0,181785.0,-4180.0,45390.0
Wine,USA Wine,USA White Wine,7257400.0,7095949.0,4457209.0,118843.0,1803406.0
