cat_type,category,subcategory,FY2024Q3,FY2024Q4,FY2025Q1,FY2025Q2,FY2025Q3
Wine,Fortified Wine,Sherry Wine,22844,10223,10388,9408,21825
Wine,Fortified Wine,Vermouth Wine,70370,56278,58080,55300,68827
Wine,France Wine,France Champagne Wine,81002,24844,32946,42437,17213
Wine,France Wine,France Fruit and Dessert Wine,601,241,156,526,186
Wine,France Wine,France Red Wine,404824,279021,283586,302990,380291
Wine,France Wine,France Rose Wine,107722,97567,232511,242124,114332
Wine,France Wine,France Sparkling Wine,63086,31748,41291,49706,61548
Wine,France Wine,France White Wine,177981,144988,186311,184905,193975
Wine,Georgia Wine,Georgia Red Wine,4752,3924,3408,2133,5098
Wine,Georgia Wine,Georgia Rose Wine,76,48,36,9,76
Wine,Georgia Wine,Georgia Sparkling Wine,14,76,81,27,32
Wine,Georgia Wine,Georgia White Wine,620,580,612,572,513
Wine,Germany Wine,Germany Fruit and Dessert Wine,0,0,0,2,0
Wine,Germany Wine,Germany Red Wine,1682,1704,1424,1235,1210
Wine,Germany Wine,Germany Rose Wine,272,220,236,234,0
Wine,Germany Wine,Germany Sparkling Wine,76838,23559,43524,27289,60063
Wine,Germany Wine,Germany White Wine,74332,47614,46968,50100,68186
Wine,Greece Wine,Greece Fruit and Dessert Wine,0,0,30,0,0
Wine,Greece Wine,Greece Red Wine,6602,4768,5858,3904,6007
Wine,Greece Wine,Greece Rose Wine,393,447,940,920,932
Wine,Greece Wine,Greece Sparkling Wine,166,180,130,130,171
Wine,Greece Wine,Greece White Wine,3796,4605,6992,5714,4802
Wine,Hungary Wine,Hungary Fruit and Dessert Wine,555,420,326,276,390
Wine,Hungary Wine,Hungary Red Wine,2444,1071,909,958,1215
Wine,Hungary Wine,Hungary Rose Wine,27,72,9,27,4
Wine,Hungary Wine,Hungary Sparkling Wine,9702,3928,5091,5872,5718
Wine,Hungary Wine,Hungary White Wine,6853,8490,3653,4880,5919
Wine,Israel Wine,Israel Red Wine,1188,970,1332,864,1097
Wine,Israel Wine,Israel Rose Wine,99,90,234,153,54
Wine,Israel Wine,Israel White Wine,297,306,387,234,198
Wine,Italy Wine,Italy Fruit and Dessert Wine,100,102,118,122,151
Wine,Italy Wine,Italy Red Wine,698848,506006,475990,469248,672338
Wine,Italy Wine,Italy Rose Wine,9292,11054,20661,20129,9111
Wine,Italy Wine,Italy Sparkling Wine,138213,88379,119526,127945,141502
Wine,Italy Wine,Italy White Wine,404019,322672,378248,392020,391104
Wine,Italy Wine,Prosecco Wine,561667,197859,327716,361238,503760
Wine,New Zealand Wine,New Zealand Fruit and Dessert Wine,0,0,0,0,9
Wine,New Zealand Wine,New Zealand Red Wine,43252,15050,22509,21304,33628
Wine,New Zealand Wine,New Zealand Rose Wine,11602,9346,20200,20656,9846
Wine,New Zealand Wine,New Zealand Sparkling Wine,7638,2158,3122,3127,7214
Wine,New Zealand Wine,New Zealand White Wine,159997,424237,741109,670796,819687
Wine,Other Country Wine,Other Country Fruit and Dessert Wine,23383,20172,19308,19130,21736
Wine,Other Country Wine,Other Country Red Wine,6851,4919,4750,4742,7220
Wine,Other Country Wine,Other Country Rose Wine,328,440,686,938,304
Wine,Other Country Wine,Other Country Sparkling Wine,688,376,664,1064,937
Wine,Other Country Wine,Other Country White Wine,3416,1916,2818,3620,3504
Wine,Other Style Wine,Aperitif And Flavoured Wine,4971,3827,4352,4380,5297
Wine,Other Style Wine,Mead,5371,7116,5725,11916,6139
Wine,Other Style Wine,Rice Wine,6738,6604,5867,5602,6446
Wine,Portugal Wine,Portugal Fruit and Dessert Wine,150,42,40,14,44
Wine,Portugal Wine,Portugal Red Wine,104211,96188,95884,73616,107782
Wine,Portugal Wine,Portugal Rose Wine,18760,13249,22112,23585,19362
Wine,Portugal Wine,Portugal Sparkling Wine,207,212,292,216,62
Wine,Portugal Wine,Portugal White Wine,31090,27683,44672,53614,28831
Wine,Sake,Japan Sake,70716,62094,59785,58464,71519
