cat_type,category,subcategory,litres,netsales,fy_qtr
Spirits,Rum,Dark Rum,108609,2845892,FY2020Q4
Spirits,Rum,Dark Rum,103203,2826254,FY2021Q1
Spirits,Rum,Dark Rum,101235,2771603,FY2021Q2
Spirits,Rum,Dark Rum,156239,4261026,FY2021Q3
Spirits,Rum,Flavoured Rum,9329,241962,FY2020Q3
Spirits,Rum,Flavoured Rum,9618,242708,FY2020Q4
Spirits,Rum,Flavoured Rum,29455,818329,FY2021Q1
Spirits,Rum,Flavoured Rum,21623,601362,FY2021Q2
Spirits,Rum,Flavoured Rum,29264,838093,FY2021Q3
Spirits,Rum,Spiced Rum,435824,12280914,FY2020Q3
Spirits,Rum,Spiced Rum,233022,6678254,FY2020Q4
Spirits,Rum,Spiced Rum,271417,7742164,FY2021Q1
Spirits,Rum,Spiced Rum,279900,7953711,FY2021Q2
Spirits,Rum,Spiced Rum,482858,13632534,FY2021Q3
Spirits,Rum,White Rum,329249,7815262,FY2020Q3
Spirits,Rum,White Rum,263905,6232424,FY2020Q4
Spirits,Rum,White Rum,316082,7537031,FY2021Q1
Spirits,Rum,White Rum,321881,7585746,FY2021Q2
Spirits,Rum,White Rum,318180,7503046,FY2021Q3
Spirits,Tequila,Blanco/Silver Tequila,88620,3806631,FY2020Q3
Spirits,Tequila,Blanco/Silver Tequila,87649,3632968,FY2020Q4
Spirits,Tequila,Blanco/Silver Tequila,121166,5043109,FY2021Q1
Spirits,Tequila,Blanco/Silver Tequila,132349,5652830,FY2021Q2
Spirits,Tequila,Blanco/Silver Tequila,90751,4160969,FY2021Q3
Spirits,Tequila,Flavoured Tequila,3466,133560,FY2020Q3
Spirits,Tequila,Flavoured Tequila,3479,137741,FY2020Q4
Spirits,Tequila,Flavoured Tequila,6028,237141,FY2021Q1
Spirits,Tequila,Flavoured Tequila,7325,277547,FY2021Q2
Spirits,Tequila,Flavoured Tequila,5160,205423,FY2021Q3
Spirits,Tequila,Gold Tequila,156412,6568897,FY2020Q3
Spirits,Tequila,Gold Tequila,133455,5477409,FY2020Q4
Spirits,Tequila,Gold Tequila,194402,8088854,FY2021Q1
Spirits,Tequila,Gold Tequila,211872,9353952,FY2021Q2
Spirits,Tequila,Gold Tequila,146089,6983836,FY2021Q3
Spirits,Tequila,Mezcal,7521,513936,FY2020Q3
Spirits,Tequila,Mezcal,6351,445504,FY2020Q4
Spirits,Tequila,Mezcal,8896,587008,FY2021Q1
Spirits,Tequila,Mezcal,9512,634364,FY2021Q2
Spirits,Tequila,Mezcal,8908,617929,FY2021Q3
Spirits,Vodka,Flavoured Vodka,218125,6342966,FY2020Q3
Spirits,Vodka,Flavoured Vodka,162196,4699419,FY2020Q4
Spirits,Vodka,Flavoured Vodka,327517,9141332,FY2021Q1
Spirits,Vodka,Flavoured Vodka,257397,7357098,FY2021Q2
Spirits,Vodka,Flavoured Vodka,189645,5524741,FY2021Q3
Spirits,Vodka,Straight Vodka,2260711,57374983,FY2020Q3
Spirits,Vodka,Straight Vodka,2044007,51104744,FY2020Q4
Spirits,Vodka,Straight Vodka,2297496,57446398,FY2021Q1
Spirits,Vodka,Straight Vodka,2330347,58611470,FY2021Q2
Spirits,Vodka,Straight Vodka,2287896,57688624,FY2021Q3
Spirits,Whisky,American Whiskey,79884,2860535,FY2020Q3
Spirits,Whisky,American Whiskey,60407,2082319,FY2020Q4
Spirits,Whisky,American Whiskey,68165,2402183,FY2021Q1
Spirits,Whisky,American Whiskey,64234,2284602,FY2021Q2
Spirits,Whisky,American Whiskey,79581,3096197,FY2021Q3
Spirits,Whisky,Blended Malt Scotch Whisky,4430,392390,FY2020Q3
Spirits,Whisky,Blended Malt Scotch Whisky,2770,182639,FY2020Q4
