cat_type,category,subcategory
spirits,Other Country Whisky,Other Country Whisky
spirits,Other Gin,Other Gin
spirits,Other Liqueurs,Other Liqueurs
spirits,Other Spirits Cachaca,Other Spirits Cachaca
spirits,Other Spirits Cachaca 927,Other Spirits Cachaca 927
spirits,Other Spirits Moonshine Spirits,Other Spirits Moonshine Spirits
spirits,Pisco,Pisco
spirits,Ready to Mix Cocktails,Ready to Mix Cocktails
spirits,Ready to Serve Cocktails,Ready to Serve Cocktails
spirits,Rum Amber Rum,Rum Amber Rum
spirits,Schnapps and Akvavit,Schnapps and Akvavit
spirits,Schnapps and Akvavit 874 879 917 999,Schnapps and Akvavit 874 879 917 999
spirits,Spiced Rum,Spiced Rum
spirits,Straight Vodka,Straight Vodka
spirits,Tequila Blanco/Silver Tequila,Tequila Blanco/Silver Tequila
spirits,Vodka Flavoured Vodka,Vodka Flavoured Vodka
spirits,Whiskey Liqueurs,Whiskey Liqueurs
spirits,Whisky American Whiskey,Whisky American Whiskey
spirits,Whisky Single Malt Scotch Whisky,Whisky Single Malt Scotch Whisky
spirits,White Rum,White Rum
wine,Argentina Rose Wine,Argentina Rose Wine
wine,Argentina Sparkling Wine,Argentina Sparkling Wine
wine,Argentina White Wine,Argentina White Wine
wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine
wine,Australia Red Wine,Australia Red Wine
wine,Australia Rose Wine,Australia Rose Wine
wine,Australia Sparkling Wine,Australia Sparkling Wine
wine,Australia White Wine,Australia White Wine
wine,Australia Wine Australia Fruit and Dessert Wine,Australia Wine Australia Fruit and Dessert Wine
wine,Austria Red Wine,Austria Red Wine
wine,Austria Red Wine 878,Austria Red Wine 878
wine,Austria Rose Wine,Austria Rose Wine
wine,Austria Sparkling Wine,Austria Sparkling Wine
wine,Austria White Wine,Austria White Wine
wine,Austria Wine Austria Fruit and Dessert Wine,Austria Wine Austria Fruit and Dessert Wine
wine,Bulgaria Rose Wine,Bulgaria Rose Wine
wine,Bulgaria White Wine,Bulgaria White Wine
wine,Bulgaria Wine Bulgaria Red Wine,Bulgaria Wine Bulgaria Red Wine
wine,Canada,BC Canada - BC Dessert Wine
wine,Canada,BC Canada - BC Sparkling Wine
wine,Canada,BC Fruit Wine
wine,Canada,BC Ice Wine
wine,Canada,BC Red Wine
wine,Canada,BC Rose Wine
wine,Canada,BC White Wine
wine,Canada,Other Canada - Other Dessert Wine
wine,Canada,Other Fruit Wine
wine,Canada,Other Ice Wine
wine,Canada,Other Red Wine
wine,Canada,Other Rose Wine
wine,Canada,Other Sparkling Wine
wine,Canada,Other White Wine
wine,Chile Red Wine,Chile Red Wine
wine,Chile Rose Wine,Chile Rose Wine
wine,Chile Sparkling Wine,Chile Sparkling Wine
wine,Chile White Wine,Chile White Wine
wine,Chile Wine Chile Fruit and Dessert Wine,Chile Wine Chile Fruit and Dessert Wine
wine,China Red Wine,China Red Wine
wine,China White Wine,China White Wine
wine,China Wine China Fruit and Dessert Wine,China Wine China Fruit and Dessert Wine
