cat_type,category,subcategory,fy_qtr,litres,netsales
Spirits,Gin,Dry Gin,FY2026Q2,427014.0,13853407.0
Spirits,Gin,Dry Gin,FY2026Q3,397611.0,13337774.0
Spirits,Gin,Dry Gin,FY2026Q4,288086.0,9454457.0
Spirits,Gin,Dry Gin,FY2027Q1,379499.0,12162935.0
Spirits,Gin,Flavoured Gin,FY2026Q1,34836.0,1282378.0
Spirits,Gin,Flavoured Gin,FY2026Q2,32168.0,1196641.0
Spirits,Gin,Flavoured Gin,FY2026Q3,28402.0,1083210.0
Spirits,Gin,Flavoured Gin,FY2026Q4,19748.0,765372.0
Spirits,Gin,Flavoured Gin,FY2027Q1,23583.0,921787.0
Spirits,Gin,Other Gin,FY2026Q1,16010.0,815542.0
Spirits,Gin,Other Gin,FY2026Q2,15675.0,770759.0
Spirits,Gin,Other Gin,FY2026Q3,19059.0,931590.0
Spirits,Gin,Other Gin,FY2026Q4,11777.0,594979.0
Spirits,Gin,Other Gin,FY2027Q1,16437.0,824315.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q1,347.0,36832.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q2,271.0,28701.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q3,998.0,117021.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q4,654.0,76006.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2027Q1,244.0,21099.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q1,63787.0,1895696.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q2,55188.0,1689896.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q3,94473.0,2804936.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q4,60552.0,1842464.0
Spirits,Grape and Fruit Brandy,Brandy,FY2027Q1,58862.0,1816099.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q1,15996.0,1708396.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q2,15603.0,1632822.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q3,23983.0,2474501.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q4,18187.0,2074289.0
Spirits,Grape and Fruit Brandy,Cognac,FY2027Q1,15109.0,1460855.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q1,6156.0,332568.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q2,5242.0,287544.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q3,7602.0,415001.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q4,5595.0,293219.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2027Q1,5360.0,303831.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q1,911.0,51570.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q2,826.0,47384.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q3,1282.0,74851.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q4,945.0,57442.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2027Q1,720.0,41200.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q1,2968.0,131034.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q2,3160.0,137626.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q3,2639.0,113961.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q4,3375.0,156855.0
Spirits,Grape and Fruit Brandy,Pisco,FY2027Q1,3397.0,158721.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q1,315130.0,9626771.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q2,294544.0,9245551.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q3,313357.0,9703192.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q4,259670.0,8254546.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2027Q1,299130.0,9247048.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q1,67391.0,1867029.0
