cat_type,category,subcategory,fy_qtr,litres,netsales
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q2,4776,273235
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q3,7748,378369
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2024Q3,1522,78619
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2024Q4,1134,63157
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q1,1152,61560
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q2,971,53493
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q3,1383,85520
Spirits,Grape and Fruit Brandy,Pisco,FY2024Q3,3184,128948
Spirits,Grape and Fruit Brandy,Pisco,FY2024Q4,2707,115466
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q1,3311,137896
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q2,3042,132506
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q3,3319,135319
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2024Q3,362861,10982727
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2024Q4,255641,7888839
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q1,305487,9250684
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q2,301251,9300653
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q3,341173,10381818
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2024Q3,129886,3329663
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2024Q4,65300,1717799
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q1,65638,1746778
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q2,74573,2046634
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q3,132781,3592964
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2024Q3,762718,21455471
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2024Q4,199658,5481557
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q1,225650,6274718
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q2,278863,7828829
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q3,688335,19139575
Spirits,Liqueurs,Fruit Liqueurs,FY2024Q3,233256,7560534
Spirits,Liqueurs,Fruit Liqueurs,FY2024Q4,162564,4990040
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q1,216531,6581700
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q2,238919,7448818
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q3,232278,7562303
Spirits,Liqueurs,Nut Liqueurs,FY2024Q3,70590,1932002
Spirits,Liqueurs,Nut Liqueurs,FY2024Q4,38743,1076362
Spirits,Liqueurs,Nut Liqueurs,FY2025Q1,55137,1422362
Spirits,Liqueurs,Nut Liqueurs,FY2025Q2,58760,1551869
Spirits,Liqueurs,Nut Liqueurs,FY2025Q3,64163,1789876
Spirits,Liqueurs,Other Liqueurs,FY2024Q3,44921,1385926
Spirits,Liqueurs,Other Liqueurs,FY2024Q4,30060,992243
Spirits,Liqueurs,Other Liqueurs,FY2025Q1,34126,1117327
Spirits,Liqueurs,Other Liqueurs,FY2025Q2,41317,1383923
Spirits,Liqueurs,Other Liqueurs,FY2025Q3,45443,1469856
Spirits,Liqueurs,Whiskey Liqueurs,FY2024Q3,60085,1989937
Spirits,Liqueurs,Whiskey Liqueurs,FY2024Q4,38377,1207969
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q1,41857,1299387
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q2,43685,1319931
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q3,68067,2132585
Spirits,Other Spirits,Cachaca,FY2024Q3,832,28068
Spirits,Other Spirits,Cachaca,FY2024Q4,1063,34859
Spirits,Other Spirits,Cachaca,FY2025Q1,1124,38574
Spirits,Other Spirits,Cachaca,FY2025Q2,1442,48140
Spirits,Other Spirits,Cachaca,FY2025Q3,927,32788
Spirits,Other Spirits,Flavoured Spirits,FY2024Q3,14388,395442
Spirits,Other Spirits,Flavoured Spirits,FY2024Q4,1933,91190
Spirits,Other Spirits,Flavoured Spirits,FY2025Q1,2369,123152
Spirits,Other Spirits,Flavoured Spirits,FY2025Q2,2877,152238
Spirits,Other Spirits,Flavoured Spirits,FY2025Q3,17806,470104
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2024Q3,4960,253023
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2024Q4,4526,235871
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q1,3968,192584
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q2,5383,255170
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q3,4102,210981
Spirits,Other Spirits,Moonshine Spirits,FY2024Q3,15069,689130
Spirits,Other Spirits,Moonshine Spirits,FY2024Q4,11410,513803
Spirits,Other Spirits,Moonshine Spirits,FY2025Q1,11808,545487
Spirits,Other Spirits,Moonshine Spirits,FY2025Q2,14674,654048
Spirits,Other Spirits,Moonshine Spirits,FY2025Q3,13011,624610
Spirits,Other Spirits,Ready to Mix Cocktails,FY2024Q3,25622,508755
Spirits,Other Spirits,Ready to Mix Cocktails,FY2024Q4,24980,488178
Spirits,Other Spirits,Ready to Mix Cocktails,FY2025Q1,27133,540775
