cat_type,category,subcategory,fy_qtr,litres,netsales
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q2,3160.0,137626.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q3,2639.0,113961.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q4,3375.0,156855.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q4,259293.0,8131436.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q1,315130.0,9626771.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q2,294544.0,9245551.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q3,313357.0,9703192.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q4,259635.0,8251606.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q4,73100.0,1980513.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q1,67391.0,1867029.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q2,79084.0,2268556.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q3,107636.0,3005825.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q4,76334.0,2190336.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q4,217412.0,5964526.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q1,212970.0,5916616.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q2,276232.0,7770609.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q3,640033.0,18071172.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q4,221499.0,6107288.0
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q4,176443.0,5718316.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q1,201982.0,6340137.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q2,209918.0,6789694.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q3,191645.0,6535600.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q4,169765.0,5473964.0
Spirits,Liqueurs,Nut Liqueurs,FY2025Q4,42329.0,1256284.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q1,55825.0,1496543.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q2,63152.0,1697065.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q3,71662.0,2133834.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q4,47584.0,1459281.0
Spirits,Liqueurs,Other Liqueurs,FY2025Q4,27671.0,927469.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q1,34229.0,1167344.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q2,38774.0,1401571.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q3,35948.0,1258410.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q4,24501.0,876245.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q4,50390.0,1515319.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q1,39738.0,1146481.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q2,42263.0,1267211.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q3,52156.0,1689152.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q4,49986.0,1499785.0
Spirits,Other Spirits,Cachaca,FY2025Q4,1267.0,42205.0
Spirits,Other Spirits,Cachaca,FY2026Q1,1518.0,50903.0
Spirits,Other Spirits,Cachaca,FY2026Q2,1563.0,54329.0
Spirits,Other Spirits,Cachaca,FY2026Q3,963.0,33515.0
Spirits,Other Spirits,Cachaca,FY2026Q4,1653.0,55344.0
Spirits,Other Spirits,Flavoured Spirits,FY2025Q4,1887.0,84871.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q1,1610.0,83673.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q2,3355.0,155719.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q3,3202.0,155241.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q4,1072.0,51748.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q4,4582.0,233685.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q1,4026.0,185720.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q2,3562.0,183529.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q3,6924.0,309247.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q4,2728.0,163514.0
Spirits,Other Spirits,Moonshine Spirits,FY2025Q4,8974.0,413007.0
Spirits,Other Spirits,Moonshine Spirits,FY2026Q1,3662.0,171260.0
Spirits,Other Spirits,Moonshine Spirits,FY2026Q2,8678.0,405561.0
Spirits,Other Spirits,Moonshine Spirits,FY2026Q3,7468.0,311408.0
Spirits,Other Spirits,Moonshine Spirits,FY2026Q4,3791.0,135576.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2025Q4,23656.0,473349.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2026Q1,28623.0,573108.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2026Q2,30303.0,601181.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2026Q3,25096.0,519518.0
Spirits,Other Spirits,Ready to Mix Cocktails,FY2026Q4,24360.0,492491.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2025Q4,41550.0,1129564.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2026Q1,53766.0,1391916.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2026Q2,66678.0,1713746.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2026Q3,38387.0,1365573.0
Spirits,Other Spirits,Ready to Serve Cocktails,FY2026Q4,35861.0,1153496.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2025Q4,917.0,45896.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2026Q1,1008.0,44707.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2026Q2,1000.0,43848.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2026Q3,1299.0,62593.0
Spirits,Other Spirits,Schnapps and Akvavit,FY2026Q4,973.0,45898.0
Spirits,Rum,Amber Rum,FY2025Q4,151381.0,4879050.0
Spirits,Rum,Amber Rum,FY2026Q1,150238.0,4898619.0
Spirits,Rum,Amber Rum,FY2026Q2,167436.0,5609819.0
Spirits,Rum,Amber Rum,FY2026Q3,238176.0,7821087.0
Spirits,Rum,Amber Rum,FY2026Q4,168344.0,5613213.0
Spirits,Rum,Dark Rum,FY2025Q4,83830.0,2458945.0
